"skill_id","experience_id","name","skill_level"
"1","1","Python","8"
"2","1","Cybersecurity","7"
"3","1","Email Security","8"
"4","1","Threat Analysis","7"
"5","2","Python","8"
"6","2","Automation","8"
"7","2","Scripting","8"
"8","2","Endpoint Management","7"
"9","3","SOC Analysis","7"
"10","3","Security Operations","7"
"11","3","Incident Response","6"
"12","3","Cybersecurity","7"
"13","4","Machine Learning","6"
"14","4","Data Analysis","7"
"15","4","Quality Assurance","8"
"16","4","Algorithm Evaluation","7"
"17","5","Arduino","7"
"18","5","C++","7"
"19","5","Hardware Programming","7"
"20","5","Motion Sensors","6"
"21","5","Music Technology","6"
"22","6","Flask","8"
"23","6","MySQL","7"
"24","6","HTML","9"
"25","6","CSS","8"
"26","6","JavaScript","8"
"27","6","Python","8"
"28","6","Web Development","9"
"29","6","Database Design","7"
"30","7","Algorithms","8"
"31","7","Data Structures","8"
"32","7","Python","8"
"33","7","Algorithm Design","8"
"34","7","Optimization","7"
"35","8","SQL","8"
"36","8","Database Design","8"
"37","8","MySQL","7"
"38","8","Database Systems","8"
"39","8","Query Optimization","7"
